 SALE PRICE ,BUILDING CLASS CATEGORY
 .   ,02  TWO FAMILY DWELLINGS                    
"988,000",02  TWO FAMILY DWELLINGS                    
"1,080,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"915,000",02  TWO FAMILY DWELLINGS                    
"893,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"995,000",02  TWO FAMILY DWELLINGS                    
"680,000",02  TWO FAMILY DWELLINGS                    
"900,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"1,120,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"1,150,000",02  TWO FAMILY DWELLINGS                    
"938,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"975,000",02  TWO FAMILY DWELLINGS                    
"999,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"1,090,000",02  TWO FAMILY DWELLINGS                    
"1,100,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"1,170,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"775,000",02  TWO FAMILY DWELLINGS                    
"1,300,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"1,000,000",02  TWO FAMILY DWELLINGS                    
10,02  TWO FAMILY DWELLINGS                    
"340,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"550,000",02  TWO FAMILY DWELLINGS                    
"499,950",02  TWO FAMILY DWELLINGS                    
"1,460,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"830,000",02  TWO FAMILY DWELLINGS                    
"840,000",02  TWO FAMILY DWELLINGS                    
"930,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"676,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"900,000",02  TWO FAMILY DWELLINGS                    
"845,000",02  TWO FAMILY DWELLINGS                    
"788,000",02  TWO FAMILY DWELLINGS                    
"885,000",02  TWO FAMILY DWELLINGS                    
"920,000",02  TWO FAMILY DWELLINGS                    
"863,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
10,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
10,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"165,000",02  TWO FAMILY DWELLINGS                    
10,02  TWO FAMILY DWELLINGS                    
"780,000",02  TWO FAMILY DWELLINGS                    
"960,000",02  TWO FAMILY DWELLINGS                    
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"985,000",03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"1,900,000",03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"1,830,000",03  THREE FAMILY DWELLINGS                  
"1,610,000",03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"1,250,000",03  THREE FAMILY DWELLINGS                  
"1,323,000",03  THREE FAMILY DWELLINGS                  
"1,400,000",03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"1,235,000",03  THREE FAMILY DWELLINGS                  
"1,210,000",03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"1,616,981",03  THREE FAMILY DWELLINGS                  
"1,596,616",03  THREE FAMILY DWELLINGS                  
"915,000",03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"985,000",03  THREE FAMILY DWELLINGS                  
"473,000",03  THREE FAMILY DWELLINGS                  
"1,400,000",03  THREE FAMILY DWELLINGS                  
"1,150,000",03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"1,200,000",03  THREE FAMILY DWELLINGS                  
"400,000",03  THREE FAMILY DWELLINGS                  
10,03  THREE FAMILY DWELLINGS                  
"1,380,000",03  THREE FAMILY DWELLINGS                  
"1,578,000",03  THREE FAMILY DWELLINGS                  
"1,210,950",03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"2,050,000",03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"1,168,000",03  THREE FAMILY DWELLINGS                  
"1,089,000",03  THREE FAMILY DWELLINGS                  
10,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"1,190,000",03  THREE FAMILY DWELLINGS                  
"1,150,000",03  THREE FAMILY DWELLINGS                  
"1,100,000",03  THREE FAMILY DWELLINGS                  
"1,490,000",03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
 .   ,03  THREE FAMILY DWELLINGS                  
"1,380,000",03  THREE FAMILY DWELLINGS                  
"552,000",04  TAX CLASS 1 CONDOS                      
 .   ,04  TAX CLASS 1 CONDOS                      
 .   ,04  TAX CLASS 1 CONDOS                      
"670,000",04  TAX CLASS 1 CONDOS                      
"629,278",04  TAX CLASS 1 CONDOS                      
 .   ,04  TAX CLASS 1 CONDOS                      
"743,322",04  TAX CLASS 1 CONDOS                      
"565,128",04  TAX CLASS 1 CONDOS                      
"590,585",04  TAX CLASS 1 CONDOS                      
"610,950",04  TAX CLASS 1 CONDOS                      
"529,490",04  TAX CLASS 1 CONDOS                      
"661,862",04  TAX CLASS 1 CONDOS                      
"712,775",04  TAX CLASS 1 CONDOS                      
"560,037",04  TAX CLASS 1 CONDOS                      
"631,315",04  TAX CLASS 1 CONDOS                      
"650,000",04  TAX CLASS 1 CONDOS                      
"661,862",04  TAX CLASS 1 CONDOS                      
 .   ,04  TAX CLASS 1 CONDOS                      
"730,000",04  TAX CLASS 1 CONDOS                      
"676,000",04  TAX CLASS 1 CONDOS                      
"530,000",04  TAX CLASS 1 CONDOS                      
 .   ,04  TAX CLASS 1 CONDOS                      
"485,000",04  TAX CLASS 1 CONDOS                      
 .   ,04  TAX CLASS 1 CONDOS                      
"540,000",04  TAX CLASS 1 CONDOS                      
"593,000",04  TAX CLASS 1 CONDOS                      
"600,000",04  TAX CLASS 1 CONDOS                      
 .   ,04  TAX CLASS 1 CONDOS                      
"753,505",04  TAX CLASS 1 CONDOS                      
"450,000",04  TAX CLASS 1 CONDOS                      
"697,501",04  TAX CLASS 1 CONDOS                      
"697,501",04  TAX CLASS 1 CONDOS                      
"747,395",04  TAX CLASS 1 CONDOS                      
"722,957",04  TAX CLASS 1 CONDOS                      
 .   ,04  TAX CLASS 1 CONDOS                      
 .   ,04  TAX CLASS 1 CONDOS                      
"650,000",04  TAX CLASS 1 CONDOS                      
"230,000",04  TAX CLASS 1 CONDOS                      
"668,000",04  TAX CLASS 1 CONDOS                      
 .   ,05  TAX CLASS 1 VACANT LAND                 
"250,000",05  TAX CLASS 1 VACANT LAND                 
 .   ,05  TAX CLASS 1 VACANT LAND                 
 .   ,07  RENTALS . WALKUP APARTMENTS             
"320,000",07  RENTALS . WALKUP APARTMENTS             
"250,000",07  RENTALS . WALKUP APARTMENTS             
"1,760,000",07  RENTALS . WALKUP APARTMENTS             
 .   ,07  RENTALS . WALKUP APARTMENTS             
 .   ,07  RENTALS . WALKUP APARTMENTS             
 .   ,07  RENTALS . WALKUP APARTMENTS             
"1,400,000",07  RENTALS . WALKUP APARTMENTS             
"3,850,000",07  RENTALS . WALKUP APARTMENTS             
10,07  RENTALS . WALKUP APARTMENTS             
 .   ,07  RENTALS . WALKUP APARTMENTS             
"1,500,000",07  RENTALS . WALKUP APARTMENTS             
"17,100,000",08  RENTALS . ELEVATOR APARTMENTS           
"235,000",09  COOPS . WALKUP APARTMENTS               
"300,000",09  COOPS . WALKUP APARTMENTS               
"233,725",09  COOPS . WALKUP APARTMENTS               
"220,000",09  COOPS . WALKUP APARTMENTS               
"215,000",09  COOPS . WALKUP APARTMENTS               
"329,550",09  COOPS . WALKUP APARTMENTS               
"44,000",09  COOPS . WALKUP APARTMENTS               
"180,000",09  COOPS . WALKUP APARTMENTS               
"218,000",09  COOPS . WALKUP APARTMENTS               
"280,000",09  COOPS . WALKUP APARTMENTS               
"235,000",09  COOPS . WALKUP APARTMENTS               
"225,000",09  COOPS . WALKUP APARTMENTS               
"260,000",09  COOPS . WALKUP APARTMENTS               
"225,000",09  COOPS . WALKUP APARTMENTS               
"204,000",09  COOPS . WALKUP APARTMENTS               
"355,000",09  COOPS . WALKUP APARTMENTS               
"51,575",09  COOPS . WALKUP APARTMENTS               
"255,000",09  COOPS . WALKUP APARTMENTS               
"275,000",09  COOPS . WALKUP APARTMENTS               
"270,000",09  COOPS . WALKUP APARTMENTS               
"260,000",09  COOPS . WALKUP APARTMENTS               
"285,000",09  COOPS . WALKUP APARTMENTS               
"279,000",09  COOPS . WALKUP APARTMENTS               
"250,000",09  COOPS . WALKUP APARTMENTS               
"299,000",09  COOPS . WALKUP APARTMENTS               
"242,000",09  COOPS . WALKUP APARTMENTS               
"267,000",09  COOPS . WALKUP APARTMENTS               
"309,000",09  COOPS . WALKUP APARTMENTS               
"255,000",10  COOPS . ELEVATOR APARTMENTS             
"340,000",10  COOPS . ELEVATOR APARTMENTS             
"365,000",10  COOPS . ELEVATOR APARTMENTS             
"238,000",10  COOPS . ELEVATOR APARTMENTS             
"315,000",10  COOPS . ELEVATOR APARTMENTS             
"210,000",10  COOPS . ELEVATOR APARTMENTS             
"633,150",13  CONDOS . ELEVATOR APARTMENTS            
"615,000",13  CONDOS . ELEVATOR APARTMENTS            
 .   ,14  RENTALS . 4.10 UNIT                     
"992,000",14  RENTALS . 4.10 UNIT                     
"2,350,000",14  RENTALS . 4.10 UNIT                     
"157,170",15  CONDOS . 2.10 UNIT RESIDENTIAL          
"510,000",15  CONDOS . 2.10 UNIT RESIDENTIAL          
"430,950",15  CONDOS . 2.10 UNIT RESIDENTIAL          
10,15  CONDOS . 2.10 UNIT RESIDENTIAL          
"655,000",15  CONDOS . 2.10 UNIT RESIDENTIAL          
"742,304",16  CONDOS . 2.10 UNIT WITH COMMERCIAL UNIT 
 .   ,16  CONDOS . 2.10 UNIT WITH COMMERCIAL UNIT 
 .   ,16  CONDOS . 2.10 UNIT WITH COMMERCIAL UNIT 
 .   ,16  CONDOS . 2.10 UNIT WITH COMMERCIAL UNIT 
 .   ,16  CONDOS . 2.10 UNIT WITH COMMERCIAL UNIT 
 .   ,16  CONDOS . 2.10 UNIT WITH COMMERCIAL UNIT 
"10,000,000",22  STORE BUILDINGS                         
 .   ,22  STORE BUILDINGS                         
"990,000",22  STORE BUILDINGS                         
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
 .   ,44  CONDO PARKING                           
"960,000",01  ONE FAMILY DWELLINGS                    
"1,050,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,200,000",01  ONE FAMILY DWELLINGS                    
"915,000",01  ONE FAMILY DWELLINGS                    
"882,500",01  ONE FAMILY DWELLINGS                    
"1,030,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,011,000",01  ONE FAMILY DWELLINGS                    
10,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"810,000",01  ONE FAMILY DWELLINGS                    
"890,000",01  ONE FAMILY DWELLINGS                    
"720,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"750,000",01  ONE FAMILY DWELLINGS                    
"819,000",01  ONE FAMILY DWELLINGS                    
"842,000",01  ONE FAMILY DWELLINGS                    
"870,000",01  ONE FAMILY DWELLINGS                    
"650,000",01  ONE FAMILY DWELLINGS                    
"950,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,600,000",01  ONE FAMILY DWELLINGS                    
"986,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"815,000",01  ONE FAMILY DWELLINGS                    
"1,284,062",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"753,000",01  ONE FAMILY DWELLINGS                    
"417,000",01  ONE FAMILY DWELLINGS                    
"850,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,340,000",01  ONE FAMILY DWELLINGS                    
"450,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,300,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
